Date,cazhi,f,pl,t,p
2021/1/8 19:14,18.6406,27.847,6698.6602,227.10001,0.81900001
2021/1/8 20:14,26.8399,18.806999,4318.1099,221.2,0.84899998
2021/1/8 21:14,27.7998,27.368999,6480.2002,224.60001,0.82800001
2021/1/8 22:14,26.3799,24.360001,5565.1201,222.8,0.85600001
2021/1/8 23:14,26.8095,27.153,6452.8599,225.10001,0.82599998
2021/1/9 0:14,25.6407,26.716,5909.4102,224.89999,0.89200002
2021/1/9 1:14,24.8496,25.722,6025.6899,226.10001,0.84100002
2021/1/9 2:14,25.5498,24.716,5932.8398,226.3,0.81999999
2021/1/9 3:14,25.6709,25.389,5819.5898,227.2,0.86299998
2021/1/9 4:14,25.7998,25.479,5981.6499,225.8,0.83700001
2021/1/9 5:14,26.0801,26.188,6238.0801,226.10001,0.82599998
2021/1/9 6:14,25.6201,26.156,6050.4302,225.60001,0.85100001
2021/1/9 7:14,25.5195,25.870001,5959.52,224,0.852
2021/1/9 8:14,25.6299,25.490999,6167.5801,223.7,0.80699998
2021/1/9 9:14,25.6601,25.219,5878.3901,230.3,0.85500002
2021/1/9 10:14,25.6602,25.631001,5552.1001,231.8,0.92799997
2021/1/9 11:14,26.9498,25.240999,5661.0098,231.8,0.89399999
2021/1/9 12:14,27.5,27.302,6109.8701,230.10001,0.89200002
2021/1/9 13:14,27.03,27.268,5969.9399,229.3,0.912
2021/1/9 14:14,26.89,27.33,6215.7402,229.5,0.87599999
2021/1/9 15:14,27.12,27.028,6130.9102,232,0.884
2021/1/9 16:14,26.87,27.122,6161.29,231.89999,0.88200003
2021/1/9 17:14,26.89,26.773001,6218.3398,231.60001,0.861
2021/1/9 18:14,27.22,27.034,6103.1401,228.89999,0.88099998
2021/1/9 19:14,27.03,27.257999,6087.52,228.89999,0.89200002
2021/1/9 20:14,27.13,27.073999,6183.6299,229.10001,0.87099999
2021/1/9 21:14,27.17,27.000999,6292.54,227.39999,0.84799999
2021/1/9 22:14,26.18,27.507,6412.0801,227.3,0.84799999
2021/1/9 23:14,25.31,25.344999,5882.0698,225.89999,0.84899998
2021/1/10 0:14,25.47,25.582001,5917.4399,225.7,0.852
