Date,cazhi,0,1
2021/1/8 15:14,27.3896,-59.31218704,-741.7191458
2021/1/8 16:14,27.5606,-69.76514889,-864.4910997
2021/1/8 17:14,25.3594,-81.83532411,-978.4253723
2021/1/8 18:14,27.54,-95.29758849,-1159.294264
2021/1/8 19:14,18.6406,-123.3715736,-1380.486228
2021/1/8 20:14,26.8399,90.05902504,990.5027096
2021/1/8 21:14,27.7998,-95.40661977,-1163.618887
2021/1/8 22:14,26.3799,-17.91984652,-251.8244576
2021/1/8 23:14,26.8095,-94.03676819,-1136.29765
2021/1/9 0:14,25.6407,-48.34507108,-594.7814812
2021/1/9 1:14,24.8496,-59.16045904,-710.5598977
2021/1/9 2:14,25.5498,-50.45742478,-618.1153518
2021/1/9 3:14,25.6709,-40.57427666,-505.3081018
2021/1/9 4:14,25.7998,-54.41611366,-666.7642547
2021/1/9 5:14,26.0801,-76.24675949,-922.2618894
2021/1/9 6:14,25.6201,-60.52519926,-735.2727982
2021/1/9 7:14,25.5195,-52.7843785,-644.6845214
2021/1/9 8:14,25.6299,-70.61245383,-851.9709923
2021/1/9 9:14,25.6601,-45.66003506,-563.9039049
2021/1/9 10:14,25.6602,-17.5303043,-238.8471806
2021/1/9 11:14,26.9498,-25.63544752,-347.4582624
2021/1/9 12:14,27.5,-63.78533027,-794.6820047
2021/1/9 13:14,27.03,-52.18755408,-655.2311631
2021/1/9 14:14,26.89,-73.52003529,-900.0993562
2021/1/9 15:14,27.12,-65.98115826,-815.6201192
2021/1/9 16:14,26.87,-68.84940042,-845.8642891
2021/1/9 17:14,26.89,-73.74760537,-902.698866
2021/1/9 18:14,27.22,-63.48186465,-787.9452325
2021/1/9 19:14,27.03,-62.32448752,-772.3681969
2021/1/9 20:14,27.13,-70.51163251,-868.1268367
2021/1/9 21:14,27.17,-79.85892691,-976.6222162
2021/1/9 22:14,26.18,-91.15186153,-1095.630293
2021/1/9 23:14,25.31,-46.31852661,-567.5152396
2021/1/10 0:14,25.47,-49.20843182,-602.7663614
2021/1/10 1:14,25.47,-38.5285658,-479.354351
2021/1/10 2:14,25.47,-29.45711953,-374.5289534
2021/1/10 3:14,25.53,-45.72758722,-563.2256828
2021/1/10 4:14,25.72,-46.77045935,-577.4925075
2021/1/10 5:14,26.45,-53.76843615,-666.8228552
2021/1/10 6:14,26.41,-51.95919332,-645.4361289
2021/1/10 7:14,26.26,-56.69162933,-698.3749778
2021/1/10 8:14,26.37,-80.54304205,-975.2529943
2021/1/10 9:14,24.81,-84.93966008,-1007.965315
2021/1/10 10:14,24.38,-28.18361534,-347.1948019
2021/1/10 11:14,24.21,-34.28962503,-415.7173057
2021/1/10 12:14,23.96,-30.64266466,-370.7176392
2021/1/10 13:14,23.43,-5.542700092,-74.56588497
2021/1/10 14:14,25.8,-49.02926728,-604.5192183
2021/1/10 15:15,25.7,-70.63978355,-853.0682482
2021/1/10 16:15,25.73,-52.52107857,-644.0620564
2021/1/10 17:15,25.63,-27.11236745,-349.2683197
2021/1/10 18:15,25.4,-32.67203348,-410.8436502
2021/1/10 19:15,25.71,-35.87655243,-451.4898594
2021/1/10 20:15,25.8,-64.72334813,-785.8613296
2021/1/10 21:15,25.98,-63.04761884,-768.5818315
2021/1/10 22:15,25.63,-53.9538003,-659.4199699
2021/1/10 23:15,25.76,-62.14572781,-755.6032633
2021/1/11 0:15,25.89,-57.20794866,-700.0611817
2021/1/11 1:15,25.5,-61.97400372,-750.6078086
2021/1/11 2:15,24.8,-38.44764305,-470.6457905
2021/1/11 3:15,21.07,-49.31135779,-552.8997798
2021/1/11 4:15,23.81,80.9382499,920.2913575
2021/1/11 5:15,26.05,-50.48414775,-624.2153738
2021/1/11 6:15,26.11,-52.61472623,-649.5184505
2021/1/11 7:15,26.24,-49.39762275,-613.8614568
2021/1/11 8:15,26.09,-87.01519414,-1046.776284
2021/1/11 9:15,26.28,-69.25768362,-843.8236733
2021/1/11 10:15,26.23,-30.28830763,-392.9620805
2021/1/11 11:15,26.07,-63.01678829,-769.2536545
2021/1/11 12:15,25.99,-56.63827057,-694.6613281
2021/1/11 13:15,26.2,-37.79743658,-479.4057455
2021/1/11 14:15,25.58,-40.71937383,-505.9518633
2021/1/11 15:15,26.06,-46.84429378,-582.2875245
2021/1/11 16:15,25.93,-21.05069963,-282.7200568
2021/1/11 17:15,25.79,-43.39416913,-539.2586594
2021/1/11 18:15,25.84,-34.85065033,-441.1347981
2021/1/11 19:15,25.9,-41.93555807,-523.7003602
2021/1/11 20:15,26.2,-23.00929438,-308.4714488
2021/1/11 21:15,26.15,-44.56774886,-557.00887
2021/1/11 22:15,26.12,-39.52901329,-498.4359844
2021/1/11 23:15,24.69,-44.6990166,-541.5552113
2021/1/12 0:15,26.09,-54.24469589,-668.1120093
2021/1/12 1:15,26.23,-55.86394101,-688.4388345
2021/1/12 2:15,26.38,-59.93875602,-737.2898135
2021/1/12 3:15,26.16,-55.7293851,-686.0592504
2021/1/12 4:15,26.3,-60.48721858,-742.6865269
2021/1/12 5:15,26.33,-46.85699074,-585.554241
2021/1/12 6:15,26.7,-62.9848105,-776.2138511
2021/1/12 7:15,26.29,-42.95078763,-539.9544734
2021/1/12 8:15,26.53,-75.53585038,-919.2782447
2021/1/12 9:15,26.57,-50.82005788,-634.1822029
2021/1/12 10:15,26.42,-47.56590684,-594.8382238
2021/1/12 11:15,26.47,-40.78752721,-517.0516321
2021/1/12 12:15,23.21,-39.91924569,-469.2175254
2021/1/12 13:15,26.39,-35.94835666,-460.2032763
2021/1/12 14:15,26.26,-51.50810606,-638.4955853
2021/1/12 15:15,26.41,-64.54637962,-790.8870151
2021/1/12 16:15,26.14,-26.74830503,-351.0209914
2021/1/12 17:15,26.17,-59.864352,-734.0145673
2021/1/12 18:15,26.46,-72.81624591,-887.0573675
2021/1/12 19:15,26.14,-57.18085799,-702.673441
2021/1/12 20:15,26.19,-53.71055991,-663.134335
2021/1/12 21:15,26.43,-35.70197476,-457.8275399
2021/1/12 22:15,26.19,-43.14574243,-541.0273381
2021/1/12 23:15,26.24,-67.86392053,-827.2033751
2021/1/13 0:15,26.33,-80.15296538,-970.280309
2021/1/13 1:15,26.66,-60.82075724,-750.7172767
2021/1/13 2:15,26.39,-67.29813414,-822.4412731
2021/1/13 3:15,26.35,-68.50073465,-835.854664
2021/1/13 4:15,26.56,-62.64459416,-770.6045137
2021/1/13 5:15,26.27,-47.01674368,-586.6541586
2021/1/13 6:15,23.23,-74.28654642,-866.4987893
2021/1/13 7:15,26.71,-90.40031566,-1093.080357
2021/1/13 8:15,26.11,-77.80758699,-940.6395416
2021/1/13 9:15,25.94,-48.94802342,-605.1883673
2021/1/13 10:15,25.9,-38.1561968,-480.038841
2021/1/13 11:15,25.85,-17.39397125,-239.500396
2021/1/13 12:15,24.08,-43.60372697,-521.8330053
2021/1/13 13:15,18.69,104.1966986,1248.402594
2021/1/13 14:15,25.08,-159.8262305,-1876.420893
2021/1/13 15:15,19.22,113.3090817,1347.558377
2021/1/13 16:16,25.5,-48.11735403,-590.4639983
2021/1/13 17:16,25.75,-58.15321964,-709.3499058
2021/1/13 18:16,25.66,-52.85363411,-647.0871062
2021/1/13 19:16,25.53,-35.79463089,-448.4570102
2021/1/13 20:16,25.77,-52.68940432,-646.4551624
2021/1/13 21:16,25.71,-21.15356902,-281.3915124
2021/1/13 22:16,25.69,-46.37175463,-572.5246659
2021/1/13 23:16,25.8,-33.56423317,-425.7949556
2021/1/14 0:16,22.38,-29.48999009,-339.0477002
2021/1/14 1:16,25.94,-39.76584853,-499.070666
2021/1/14 2:16,25.71,-45.60897425,-563.9054956
2021/1/14 3:16,26.05,-52.95195678,-652.7435459
2021/1/14 4:16,25.91,-65.9093548,-800.7998023
2021/1/14 5:16,25.89,-43.4444667,-541.0010717
2021/1/14 6:16,25.98,-39.08879018,-491.7283787
2021/1/14 7:16,25.78,-49.80084109,-613.1755099
2021/1/14 8:16,25.73,-38.53275182,-482.4082163
2021/1/14 9:16,25.83,-42.75091458,-532.329989
2021/1/14 10:16,25.74,-32.21981468,-409.5745181
2021/1/14 11:16,25.21,-30.99769391,-389.2343989
2021/1/14 12:16,25.34,-44.16546924,-542.9103156
2021/1/14 13:16,25.41,-24.39352527,-315.3122397
2021/1/14 14:16,25.02,-14.05046749,-191.2301619
2021/1/14 15:16,25.11,-16.14573999,-216.5132784
2021/1/14 16:16,25.25,-28.18391073,-357.2369156
2021/1/14 17:16,24.98,-7.145531877,-111.0219023
2021/1/14 18:16,24.99,-22.19565405,-285.0248472
2021/1/14 19:16,25.26,-37.77073858,-468.1135003
2021/1/14 20:16,25,-16.89350648,-223.8607089
2021/1/14 21:16,25.13,-40.19984117,-494.6809375
2021/1/14 22:16,25.21,-56.35372275,-682.2839847
2021/1/14 23:16,25.42,-49.30014649,-603.204713
2021/1/15 0:16,23.35,2.286927821,16.85832561
2021/1/15 1:16,23.35,-1.454709783,-26.37163163
2021/1/15 2:16,23.69,-15.68780064,-194.7698403
2021/1/15 3:16,23.67,6.551884528,62.43668099
2021/1/15 4:16,23.76,-18.12454224,-223.7366037
2021/1/15 5:16,23.78,-13.14727496,-166.4624322
2021/1/15 6:16,23.91,6.62173284,60.47024643
2021/1/15 7:16,23.97,-27.3243535,-332.4707898
2021/1/15 8:16,24.13,-16.31261039,-207.1154752
2021/1/15 9:16,24.18,-22.03994348,-273.8985284
2021/1/15 10:16,24.13,-4.361351198,-69.01553376
2021/1/15 11:16,24.09,-5.952531414,-86.94186311
2021/1/15 12:16,23.75,6.086491031,56.15277909
2021/1/15 13:16,24.13,5.194542162,41.42194119
2021/1/15 14:16,21.04,-29.32892314,-321.6366297
2021/1/15 15:16,18.99,-32.34092061,-332.6882383
2021/1/15 16:16,20,123.958437,1461.601323
2021/1/15 17:16,24.92,-27.22114705,-342.2920568
2021/1/15 18:16,24.89,-14.60487665,-196.1729531
2021/1/15 19:16,24.96,-45.06135974,-548.9108717
2021/1/15 20:16,23.18,-29.11999877,-344.0739675
2021/1/15 21:16,18.99,106.9429016,1276.679649
2021/1/15 22:16,23.96,17.78459812,188.8518478
2021/1/15 23:16,23.73,7.039332292,67.39329503
2021/1/16 0:16,23.79,18.24893935,196.2090282
2021/1/16 1:16,23.41,19.47707305,214.8258694
2021/1/16 2:16,23.28,30.6622668,345.5917544
2021/1/16 3:16,23.22,14.42180485,158.6364013
2021/1/16 4:16,23.42,-7.954861481,-102.2563215
2021/1/16 5:16,23.32,-31.11935958,-368.7428828
2021/1/16 6:16,21.94,7.161620101,89.58694386
2021/1/16 7:16,22.98,86.14965468,990.1594363
2021/1/16 8:16,23.77,17.27795187,185.1940893
2021/1/16 9:16,24.09,11.06873808,109.7386988
2021/1/16 10:16,24.84,-27.29214801,-342.2548552
2021/1/16 11:16,25.81,-16.99283189,-234.4901597
2021/1/16 12:16,25.56,-28.87768887,-368.9075744
2021/1/16 13:16,25.54,-31.25706662,-396.1504759
